
Sync-Point 0, Time: 0.015625, Redshift: 63, Nf = 0016777216, Systemstep: 0, Dloga: 0

Sync-Point 1, Time: 0.016141, Redshift: 60.954, Nf = 0016777216, Systemstep: 0.000516014, Dloga: 0.0324913

Sync-Point 2, Time: 0.0166741, Redshift: 58.9734, Nf = 0016777216, Systemstep: 0.000533055, Dloga: 0.0324913

Sync-Point 3, Time: 0.0172247, Redshift: 57.0561, Nf = 0016777216, Systemstep: 0.000550659, Dloga: 0.0324913

Sync-Point 4, Time: 0.0177936, Redshift: 55.2001, Nf = 0016777216, Systemstep: 0.000568845, Dloga: 0.0324913

Sync-Point 5, Time: 0.0183812, Redshift: 53.4034, Nf = 0016777216, Systemstep: 0.000587631, Dloga: 0.0324913

Sync-Point 6, Time: 0.0189882, Redshift: 51.6642, Nf = 0016777216, Systemstep: 0.000607037, Dloga: 0.0324913

Sync-Point 7, Time: 0.0196153, Redshift: 49.9805, Nf = 0016777216, Systemstep: 0.000627084, Dloga: 0.0324913

Sync-Point 8, Time: 0.0202631, Redshift: 48.3507, Nf = 0016777216, Systemstep: 0.000647794, Dloga: 0.0324913

Sync-Point 9, Time: 0.0209323, Redshift: 46.773, Nf = 0016777216, Systemstep: 0.000669187, Dloga: 0.0324913

Sync-Point 10, Time: 0.0216236, Redshift: 45.2458, Nf = 0016777216, Systemstep: 0.000691287, Dloga: 0.0324913

Sync-Point 11, Time: 0.0223377, Redshift: 43.7673, Nf = 0016777216, Systemstep: 0.000714117, Dloga: 0.0324913

Sync-Point 12, Time: 0.0230754, Redshift: 42.3362, Nf = 0016777216, Systemstep: 0.0007377, Dloga: 0.0324913

Sync-Point 13, Time: 0.0238375, Redshift: 40.9508, Nf = 0016777216, Systemstep: 0.000762063, Dloga: 0.0324913

Sync-Point 14, Time: 0.0246247, Redshift: 39.6096, Nf = 0016777216, Systemstep: 0.00078723, Dloga: 0.0324913

Sync-Point 15, Time: 0.0254379, Redshift: 38.3114, Nf = 0016777216, Systemstep: 0.000813228, Dloga: 0.0324913

Sync-Point 16, Time: 0.026278, Redshift: 37.0546, Nf = 0016777216, Systemstep: 0.000840085, Dloga: 0.0324913

Sync-Point 17, Time: 0.0271458, Redshift: 35.8381, Nf = 0016777216, Systemstep: 0.000867828, Dloga: 0.0324913

Sync-Point 18, Time: 0.0280423, Redshift: 34.6604, Nf = 0016777216, Systemstep: 0.000896488, Dloga: 0.0324913

Sync-Point 19, Time: 0.0289684, Redshift: 33.5203, Nf = 0016777216, Systemstep: 0.000926095, Dloga: 0.0324913

Sync-Point 20, Time: 0.0299251, Redshift: 32.4168, Nf = 0016777216, Systemstep: 0.000956679, Dloga: 0.0324913

Sync-Point 21, Time: 0.0309134, Redshift: 31.3485, Nf = 0016777216, Systemstep: 0.000988273, Dloga: 0.0324913

Sync-Point 22, Time: 0.0319343, Redshift: 30.3143, Nf = 0016777216, Systemstep: 0.00102091, Dloga: 0.0324913

Sync-Point 23, Time: 0.0329889, Redshift: 29.3132, Nf = 0016777216, Systemstep: 0.00105463, Dloga: 0.0324913

Sync-Point 24, Time: 0.0340784, Redshift: 28.3441, Nf = 0016777216, Systemstep: 0.00108945, Dloga: 0.0324913

Sync-Point 25, Time: 0.0352038, Redshift: 27.406, Nf = 0016777216, Systemstep: 0.00112543, Dloga: 0.0324913

Sync-Point 26, Time: 0.0363664, Redshift: 26.4979, Nf = 0016777216, Systemstep: 0.0011626, Dloga: 0.0324913

Sync-Point 27, Time: 0.0375674, Redshift: 25.6188, Nf = 0016777216, Systemstep: 0.001201, Dloga: 0.0324913

Sync-Point 28, Time: 0.0388081, Redshift: 24.7678, Nf = 0016777216, Systemstep: 0.00124066, Dloga: 0.0324913

Sync-Point 29, Time: 0.0400897, Redshift: 23.9441, Nf = 0016777216, Systemstep: 0.00128163, Dloga: 0.0324913

Sync-Point 30, Time: 0.0407463, Redshift: 23.5421, Nf = 0000000003, Systemstep: 0.000656602, Dloga: 0.0162456

Sync-Point 31, Time: 0.0414136, Redshift: 23.1466, Nf = 0016777216, Systemstep: 0.000667356, Dloga: 0.0162456

Sync-Point 32, Time: 0.0420919, Redshift: 22.7575, Nf = 0000000024, Systemstep: 0.000678286, Dloga: 0.0162456

Sync-Point 33, Time: 0.0427813, Redshift: 22.3747, Nf = 0016777216, Systemstep: 0.000689395, Dloga: 0.0162456

Sync-Point 34, Time: 0.043482, Redshift: 21.998, Nf = 0000000129, Systemstep: 0.000700686, Dloga: 0.0162456

Sync-Point 35, Time: 0.0441942, Redshift: 21.6274, Nf = 0016777216, Systemstep: 0.000712162, Dloga: 0.0162456

Sync-Point 36, Time: 0.044918, Redshift: 21.2628, Nf = 0000000494, Systemstep: 0.000723826, Dloga: 0.0162456

Sync-Point 37, Time: 0.0456537, Redshift: 20.904, Nf = 0016777216, Systemstep: 0.000735681, Dloga: 0.0162456

Sync-Point 38, Time: 0.0464014, Redshift: 20.5511, Nf = 0000001248, Systemstep: 0.00074773, Dloga: 0.0162456

Sync-Point 39, Time: 0.0471614, Redshift: 20.2038, Nf = 0016777216, Systemstep: 0.000759977, Dloga: 0.0162456

Sync-Point 40, Time: 0.0479338, Redshift: 19.8621, Nf = 0000002688, Systemstep: 0.000772424, Dloga: 0.0162456

Sync-Point 41, Time: 0.0487189, Redshift: 19.5259, Nf = 0016777216, Systemstep: 0.000785075, Dloga: 0.0162456

Sync-Point 42, Time: 0.0495168, Redshift: 19.1952, Nf = 0000005265, Systemstep: 0.000797933, Dloga: 0.0162456

Sync-Point 43, Time: 0.0503278, Redshift: 18.8697, Nf = 0016777216, Systemstep: 0.000811002, Dloga: 0.0162456

Sync-Point 44, Time: 0.0511521, Redshift: 18.5495, Nf = 0000009741, Systemstep: 0.000824285, Dloga: 0.0162456

Sync-Point 45, Time: 0.0519899, Redshift: 18.2345, Nf = 0016777216, Systemstep: 0.000837785, Dloga: 0.0162456

Sync-Point 46, Time: 0.0528414, Redshift: 17.9246, Nf = 0000017048, Systemstep: 0.000851507, Dloga: 0.0162456

Sync-Point 47, Time: 0.0537069, Redshift: 17.6196, Nf = 0016777216, Systemstep: 0.000865453, Dloga: 0.0162456

Sync-Point 48, Time: 0.0545865, Redshift: 17.3196, Nf = 0000027954, Systemstep: 0.000879628, Dloga: 0.0162456

Sync-Point 49, Time: 0.0554805, Redshift: 17.0243, Nf = 0016777216, Systemstep: 0.000894035, Dloga: 0.0162456

Sync-Point 50, Time: 0.0563892, Redshift: 16.7339, Nf = 0000044283, Systemstep: 0.000908677, Dloga: 0.0162456

Sync-Point 51, Time: 0.0573128, Redshift: 16.4481, Nf = 0016777216, Systemstep: 0.00092356, Dloga: 0.0162456

Sync-Point 52, Time: 0.0582514, Redshift: 16.167, Nf = 0000068343, Systemstep: 0.000938686, Dloga: 0.0162456

Sync-Point 53, Time: 0.0592055, Redshift: 15.8903, Nf = 0016777216, Systemstep: 0.00095406, Dloga: 0.0162456

Sync-Point 54, Time: 0.0601752, Redshift: 15.6181, Nf = 0000102876, Systemstep: 0.000969686, Dloga: 0.0162456

Sync-Point 55, Time: 0.0611608, Redshift: 15.3504, Nf = 0016777216, Systemstep: 0.000985568, Dloga: 0.0162456

Sync-Point 56, Time: 0.0621625, Redshift: 15.0869, Nf = 0000149839, Systemstep: 0.00100171, Dloga: 0.0162456

Sync-Point 57, Time: 0.0631806, Redshift: 14.8276, Nf = 0016777216, Systemstep: 0.00101812, Dloga: 0.0162456

Sync-Point 58, Time: 0.0642154, Redshift: 14.5726, Nf = 0000212430, Systemstep: 0.00103479, Dloga: 0.0162456

Sync-Point 59, Time: 0.0652671, Redshift: 14.3217, Nf = 0016777216, Systemstep: 0.00105174, Dloga: 0.0162456

